2024576,156103,201002,249018,154671,950045,155065,113360,389066,206869,2406605,354531,227426,115338,176938,1323862
156103,16492,14048,16594,10910,115016,10750,10428,21809,18137,190553,22890,13226,10897,10385,120388
201002,14048,21702,18048,16003,107638,15484,11320,31475,15490,281505,24985,20388,10497,17151,135926
249018,16594,18048,21392,13061,129307,21286,13372,33217,22031,299233,49694,17188,11967,16752,216204
154671,10910,16003,13061,17380,130650,15535,13416,17819,10191,154468,13173,13059,10205,11279,101892
950045,115016,107638,129307,130650,1053256,124021,134015,133815,109466,986953,134061,108641,112477,90742,806487
155065,10750,15484,21286,15535,124021,18358,14203,16324,9073,177564,14170,12912,9839,15319,110913
113360,10428,11320,13372,13416,134015,14203,16650,13256,9699,122889,15174,11539,10640,10273,116930
389066,21809,31475,33217,17819,133815,16324,13256,49264,24855,383016,39769,35031,16657,27252,236458
206869,18137,15490,22031,10191,109466,9073,9699,24855,19606,214776,25502,16742,14215,17089,158771
2406605,190553,281505,299233,154468,986953,177564,122889,383016,214776,3074378,340260,261151,149660,256070,1614626
354531,22890,24985,49694,13173,134061,14170,15174,39769,25502,340260,36872,25163,15258,20285,290694
227426,13226,20388,17188,13059,108641,12912,11539,35031,16742,261151,25163,26946,12760,22476,164965
115338,10897,10497,11967,10205,112477,9839,10640,16657,14215,149660,15258,12760,10546,12018,102715
176938,10385,17151,16752,11279,90742,15319,10273,27252,17089,256070,20285,22476,12018,25684,148670
1323862,120388,135926,216204,101892,806487,110913,116930,236458,158771,1614626,290694,164965,102715,148670,1343222
